year,month,day,price
2009,5,29,66.31
2009,6,1,68.59
2009,6,2,68.58
2009,6,3,66.14
2009,6,4,68.80
2009,6,5,68.43
2009,6,8,68.05
2009,6,9,70.02
2009,6,10,71.38
2009,6,11,72.69
2009,6,12,72.13
2009,6,15,70.54
2009,6,16,70.47
2009,6,17,71.07
2009,6,18,71.42
2009,6,19,69.60
2009,6,22,67.09
2009,6,23,68.81
2009,6,24,68.14
2009,6,25,69.70
2009,6,26,69.16
2009,6,29,71.47
2009,6,30,69.82
2009,7,1,69.32
2009,7,2,66.68
2009,7,6,64.06
2009,7,7,62.88
2009,7,8,60.15
2009,7,9,60.36
2009,7,10,59.93
2009,7,13,59.69
2009,7,14,59.62
2009,7,15,61.49
2009,7,16,62.07
2009,7,17,63.56
2009,7,20,63.93
2009,7,21,64.81
2009,7,22,64.58
2009,7,23,66.10
2009,7,24,66.96
2009,7,27,68.34
2009,7,28,67.24
2009,7,29,63.42
2009,7,30,66.90
2009,7,31,69.26
2009,8,3,71.59
2009,8,4,71.40
2009,8,5,71.97
2009,8,6,71.96
2009,8,7,70.97
2009,8,10,70.59
2009,8,11,69.46
2009,8,12,70.08
2009,8,13,70.57
2009,8,14,67.51
2009,8,17,66.72
2009,8,18,69.22
2009,8,19,72.54
2009,8,20,72.40
2009,8,21,73.12
2009,8,24,73.68
2009,8,25,71.60
2009,8,26,71.38
2009,8,27,72.49
2009,8,28,72.72
2009,8,31,69.97
2009,9,1,68.11
2009,9,2,68.03
2009,9,3,67.90
2009,9,4,67.95
2009,9,8,71.08
2009,9,9,71.27
2009,9,10,71.95
2009,9,11,69.34
2009,9,14,68.86
2009,9,15,70.81
2009,9,16,72.50
2009,9,17,72.48
2009,9,18,71.95
2009,9,21,69.74
2009,9,22,71.50
2009,9,23,68.74
2009,9,24,65.74
2009,9,25,65.91
2009,9,28,66.69
2009,9,29,66.56
2009,9,30,70.46
2009,10,1,70.67
2009,10,2,69.80
2009,10,5,70.26
2009,10,6,70.71
2009,10,7,69.60
2009,10,8,71.69
2009,10,9,71.75
2009,10,12,73.24
2009,10,13,74.10
2009,10,14,75.20
2009,10,15,77.55
2009,10,16,78.54
2009,10,19,79.47
2009,10,20,78.87
2009,10,21,81.03
2009,10,22,80.82
2009,10,23,80.11
2009,10,26,78.61
2009,10,27,79.45
2009,10,28,77.39
2009,10,29,79.84
2009,10,30,77.04
2009,11,2,78.08
2009,11,3,79.58
2009,11,4,80.30
2009,11,5,79.64
2009,11,6,77.40
2009,11,9,79.44
2009,11,10,79.01
2009,11,11,79.16
2009,11,12,77.25
2009,11,13,76.34
2009,11,16,78.91
2009,11,17,79.08
2009,11,18,79.55
2009,11,19,77.47
2009,11,20,76.83
2009,11,23,76.49
2009,11,24,74.88
2009,11,25,77.25
2009,11,27,75.95
2009,11,30,77.19
2009,12,1,78.39
2009,12,2,76.62
2009,12,3,76.42
2009,12,4,75.41
2009,12,7,73.89
2009,12,8,72.59
2009,12,9,70.67
2009,12,10,70.54
2009,12,11,69.86
2009,12,14,69.48
2009,12,15,70.62
2009,12,16,72.64
2009,12,17,72.58
2009,12,18,73.30
